notified timing,replied timing
12:05,12:05
12:10,12:15
12:15,12:15
12:19,12:23
12:20,12:23
12:22,12:23
12:25,12:30
12:30,12:30
12:35,12:40
12:40,12:40
12:44,12:45
12:45,12:45
12:49,12:51
12:50,12:51
12:51,12:51
12:55,12:57
13:00,13:05
13:05,13:05
13:10,13:15
13:15,13:15
13:20,13:21
13:25,13:25
13:30,13:35
13:35,13:35
13:40,13:45
13:45,13:45
13:50,13:50
13:55,13:57
14:00,14:00
14:05,14:10
14:10,14:10
14:15,14:20
14:20,14:20
14:25,14:26
14:30,14:35
14:35,14:35
14:40,14:40
14:45,14:45
14:45,14:45
14:50,14:45
