notified timing,replied timing
16:50,16:54
16:55,16:59
17:00,17:08
17:03,17:08
17:05,17:08
17:06,17:08
17:10,18:10
17:13,18:10
17:15,18:10
17:17,18:10
17:20,18:10
17:25,18:10
17:30,18:10
17:35,18:10
17:40,18:10
17:45,18:10
17:50,18:10
17:55,18:10
18:00,18:10
18:05,18:10
18:10,18:10
18:15,18:50
18:20,18:50
18:25,18:50
18:30,18:50
18:35,18:50
18:40,18:50
18:45,18:50
18:50,18:50
18:55,19:04
19:00,19:04
19:05,19:04
19:10,19:04
19:15,19:04
19:20,19:04
19:25,19:04
19:30,19:04
19:30,19:04
19:35,19:04
19:40,19:04
19:45,19:04
